horizon,model,n_seeds,MAE_mean,MAE_std,MAE_cv,RMSE_mean,RMSE_std,RMSE_cv,IA_mean,IA_std,IA_cv
1h,Model_D,5,9.206,0.3252,3.53,16.8556,0.2916,1.73,0.9896,0.0003,0.03
1h,Model_N,5,9.1745,0.3013,3.28,16.6282,0.2275,1.37,0.9899,0.0001,0.01
1h,Model_S,5,9.153,0.3024,3.3,16.8021,0.2812,1.67,0.9897,0.0002,0.02
1h,Model_POI,5,9.2286,0.4773,5.17,16.7261,0.3274,1.96,0.9898,0.0002,0.02
6h,Model_D,5,21.8387,0.4574,2.09,37.9346,0.3547,0.93,0.9427,0.0019,0.2
6h,Model_N,5,20.5797,0.5643,2.74,35.8061,0.6622,1.85,0.9475,0.0018,0.19
6h,Model_S,5,21.7302,0.3965,1.82,37.7213,0.3504,0.93,0.9425,0.0008,0.09
6h,Model_POI,5,20.6242,0.3938,1.91,35.9799,0.5506,1.53,0.9477,0.0027,0.28
12h,Model_D,5,31.0517,0.9214,2.97,51.3119,1.0265,2.0,0.8695,0.0094,1.08
12h,Model_N,5,30.5064,0.6549,2.15,49.9527,1.5016,3.01,0.8818,0.0144,1.63
12h,Model_S,5,30.9229,0.7201,2.33,51.1616,1.3619,2.66,0.8728,0.0127,1.46
12h,Model_POI,5,30.2502,0.6073,2.01,49.9583,1.2431,2.49,0.8809,0.0143,1.62
24h,Model_D,5,41.9117,1.3204,3.15,65.0059,2.0924,3.22,0.7472,0.0275,3.69
24h,Model_N,5,40.9682,1.2755,3.11,64.7466,2.4698,3.81,0.7498,0.0265,3.53
24h,Model_S,5,41.2482,0.9855,2.39,65.1695,2.0749,3.18,0.741,0.0253,3.41
24h,Model_POI,5,40.8176,1.4709,3.6,64.5106,2.3964,3.71,0.7442,0.0217,2.91
